dnsmasq-base	Small caching DNS proxy and DHCP/TFTP server
dnsutils	Clients provided with BIND
dosfstools	utilities for making and checking MS-DOS FAT filesystems
dpkg	Debian package management system
dpkg-dev	Debian package development tools
dvd+rw-tools	DVD+-RW/R tools
dvdauthor	create DVD-Video file system
e2fsprogs	ext2/ext3/ext4 file system utilities
ed	classic UNIX line editor
efibootmgr	Interact with the EFI Boot Manager
eject	ejects CDs and operates CD-Changers under Linux
emacsen-common	Common facilities for all emacsen
encfs	encrypted virtual filesystem
enchant	Wrapper for various spell checker engines (binary programs)
eog	Eye of GNOME graphics viewer program
esci-interpreter-gt-f720	Plugin for the GT-F720/S620 and Perfection V30/V300 Photo
espeak-ng-data:amd64	Multi-lingual software speech synthesizer: speech data files
evince	Document (PostScript, PDF) viewer
evince-common	Document (PostScript, PDF) viewer - common files
evolution-data-server	evolution database backend server
evolution-data-server-common	architecture independent files for Evolution Data Server
example-content	Ubuntu example content
fakeroot	tool for simulating superuser privileges
fdisk	collection of partitioning utilities
fig2dev	Utilities for converting XFig figure files
file	Recognize the type of data in a file using "magic" numbers
file-roller	archive manager for GNOME
findutils	utilities for finding files--find, xargs
firefox	Safe and easy web browser from Mozilla
firefox-locale-en	English language pack for Firefox
flac	Free Lossless Audio Codec - command line tools
fontconfig	generic font configuration library - support binaries
fontconfig-config	generic font configuration library - configuration
fonts-beng	Metapackage to install Bengali and Assamese fonts
fonts-beng-extra	TrueType fonts for Bengali language
fonts-dejavu-core	Vera font family derivate with additional characters
fonts-deva	Meta package to install all Devanagari fonts
fonts-deva-extra	Free fonts for Devanagari script
fonts-droid-fallback	handheld device font with extensive style and language support (fallback)
fonts-freefont-ttf	Freefont Serif, Sans and Mono Truetype fonts
fonts-gargi	OpenType Devanagari font
fonts-gubbi	Gubbi free font for Kannada script
fonts-gujr	Meta package to install all Gujarati fonts
fonts-gujr-extra	Free fonts for Gujarati script
fonts-guru	Meta package to install all Punjabi fonts
fonts-guru-extra	Free fonts for Punjabi language
fonts-indic	Meta package to install all Indian language fonts
fonts-kacst	KACST free TrueType Arabic fonts
fonts-kacst-one	TrueType font designed for Arabic language
fonts-kalapi	Kalapi Gujarati Unicode font
fonts-khmeros-core	KhmerOS Unicode fonts for the Khmer language of Cambodia
fonts-knda	Meta package for Kannada fonts
fonts-lao	TrueType font for Lao language
fonts-lato	sans-serif typeface family font
fonts-liberation	Fonts with the same metrics as Times, Arial and Courier
fonts-liberation2	Fonts with the same metrics as Times, Arial and Courier (v2)
fonts-lklug-sinhala	Unicode Sinhala font by Lanka Linux User Group
fonts-lohit-beng-assamese	Lohit TrueType font for Assamese Language
fonts-lohit-beng-bengali	Lohit TrueType font for Bengali Language
fonts-lohit-deva	Lohit TrueType font for Devanagari script
fonts-lohit-gujr	Lohit TrueType font for Gujarati Language
fonts-lohit-guru	Lohit TrueType font for Punjabi Language
fonts-lohit-knda	Lohit TrueType font for Kannada Language
fonts-lohit-mlym	Lohit TrueType font for Malayalam Language
fonts-lohit-orya	Lohit TrueType font for Oriya Language
fonts-lohit-taml	Lohit TrueType font for Tamil Language
fonts-lohit-taml-classical	Lohit Tamil TrueType fonts for Tamil script
fonts-lohit-telu	Lohit TrueType font for Telugu Language
fonts-mlym	Meta package to install all Malayalam fonts
fonts-nakula	Free Unicode compliant Devanagari font
fonts-navilu	Handwriting font for Kannada
fonts-noto-cjk	"No Tofu" font families with large Unicode coverage (CJK regular and bold)
fonts-noto-color-emoji	color emoji font from Google
fonts-noto-mono	"No Tofu" monospaced font family with large Unicode coverage
fonts-opensymbol	OpenSymbol TrueType font
fonts-orya	Meta package to install all Oriya fonts
fonts-orya-extra	Free fonts for Oriya script
fonts-pagul	Free TrueType font for the Sourashtra language
fonts-sahadeva	Free Unicode compliant Devanagari font
fonts-samyak-deva	Samyak TrueType font for Devanagari script
fonts-samyak-gujr	Samyak TrueType font for Gujarati language
fonts-samyak-mlym	Samyak TrueType font for Malayalam language
fonts-samyak-taml	Samyak TrueType font for Tamil language
fonts-sarai	truetype font for devanagari script
fonts-sil-abyssinica	smart Unicode font for Ethiopian and Erythrean scripts (Amharic et al.)
fonts-sil-padauk	Burmese Unicode 6 truetype font with OT and Graphite support
fonts-smc	Metapackage for various TrueType fonts for Malayalam Language
fonts-smc-anjalioldlipi	AnjaliOldLipi malayalam font
fonts-smc-chilanka	Chilanka malayalam font
fonts-smc-dyuthi	Dyuthi malayalam font
fonts-smc-karumbi	Karumbi malayalam font
fonts-smc-keraleeyam	Keraleeyam malayalam font
fonts-smc-manjari	Manjari malayalam font
fonts-smc-meera	Meera malayalam font
fonts-smc-rachana	Rachana malayalam font
fonts-smc-raghumalayalamsans	RaghuMalayalamSans malayalam font
fonts-smc-suruma	Suruma malayalam font
fonts-smc-uroob	Uroob malayalam font
fonts-symbola	symbolic font providing emoji characters from Unicode 9.0
fonts-taml	Meta package to install all Tamil fonts
fonts-telu	Meta package to install all Telugu fonts
fonts-telu-extra	Free fonts for Telugu script
fonts-thai-tlwg	Thai fonts maintained by TLWG (metapackage)
fonts-tibetan-machine	font for Tibetan, Dzongkha and Ladakhi (OpenType Unicode)
fonts-tlwg-garuda	Thai Garuda font (dependency package)
fonts-tlwg-garuda-ttf	Thai Garuda TrueType font
fonts-tlwg-kinnari	Thai Kinnari font (dependency package)
fonts-tlwg-kinnari-ttf	Thai Kinnari TrueType font
fonts-tlwg-laksaman	Thai Laksaman font (dependency package)
fonts-tlwg-laksaman-ttf	Thai Laksaman TrueType font
fonts-tlwg-loma	Thai Loma font (dependency package)
fonts-tlwg-loma-ttf	Thai Loma TrueType font
fonts-tlwg-mono	Thai TlwgMono font (dependency package)
fonts-tlwg-mono-ttf	Thai TlwgMono TrueType font
fonts-tlwg-norasi	Thai Norasi font (dependency package)
fonts-tlwg-norasi-ttf	Thai Norasi TrueType font
fonts-tlwg-purisa	Thai Purisa font (dependency package)
fonts-tlwg-purisa-ttf	Thai Purisa TrueType font
fonts-tlwg-sawasdee	Thai Sawasdee font (dependency package)
fonts-tlwg-sawasdee-ttf	Thai Sawasdee TrueType font
fonts-tlwg-typewriter	Thai TlwgTypewriter font (dependency package)
fonts-tlwg-typewriter-ttf	Thai TlwgTypewriter TrueType font
fonts-tlwg-typist	Thai TlwgTypist font (dependency package)
fonts-tlwg-typist-ttf	Thai TlwgTypist TrueType font
fonts-tlwg-typo	Thai TlwgTypo font (dependency package)
fonts-tlwg-typo-ttf	Thai TlwgTypo TrueType font
fonts-tlwg-umpush	Thai Umpush font (dependency package)
fonts-tlwg-umpush-ttf	Thai Umpush TrueType font
fonts-tlwg-waree	Thai Waree font (dependency package)
fonts-tlwg-waree-ttf	Thai Waree TrueType font
fonts-ubuntu	sans-serif font set from Ubuntu
foomatic-db-compressed-ppds	OpenPrinting printer support - Compressed PPDs derived from the database
freepats	Free patch set for MIDI audio synthesis
friendly-recovery	Make recovery boot mode more user-friendly
ftp	classical file transfer client
fuse	Filesystem in Userspace
fwupd	Firmware update daemon
fwupd-signed	Linux Firmware Updater EFI signed binary
fwupdate	Transitional package for fwupd
fwupdate-signed	Transitional package for fwupd
g++	GNU C++ compiler
g++-7	GNU C++ compiler
gawk	GNU awk, a pattern scanning and processing language
gcc	GNU C compiler
gcc-7	GNU C compiler
gcc-7-base:amd64	GCC, the GNU Compiler Collection (base package)
gcc-8-base:amd64	GCC, the GNU Compiler Collection (base package)
gcc-8-base:i386	GCC, the GNU Compiler Collection (base package)
gcr	GNOME crypto services (daemon and tools)
gdb	GNU Debugger
gdbserver	GNU Debugger (remote server)
gdebi-core	simple tool to install deb files
gdisk	GPT fdisk text-mode partitioning tool
gdm3	GNOME Display Manager
gedit	official text editor of the GNOME desktop environment
gedit-common	official text editor of the GNOME desktop environment (support files)
genisoimage	Creates ISO-9660 CD-ROM filesystem images
geoclue-2.0	geoinformation service
geoip-database	IP lookup command line tools that use the GeoIP library (country database)
gettext	GNU Internationalization utilities
gettext-base	GNU Internationalization utilities for the base system
ghostscript	interpreter for the PostScript language and for PDF
ghostscript-x	interpreter for the PostScript language and for PDF - X11 support
gimp	GNU Image Manipulation Program
gimp-data	Data files for GIMP
gir1.2-accountsservice-1.0	GObject introspection data for AccountService
gir1.2-atk-1.0:amd64	ATK accessibility toolkit (GObject introspection)
gir1.2-atspi-2.0:amd64	Assistive Technology Service Provider (GObject introspection)
gir1.2-dbusmenu-glib-0.4:amd64	typelib file for libdbusmenu-glib4
gir1.2-dee-1.0	GObject introspection data for the Dee library
gir1.2-freedesktop:amd64	Introspection data for some FreeDesktop components
gir1.2-gck-1:amd64	GObject introspection data for the GCK library
gir1.2-gcr-3:amd64	GObject introspection data for the GCR library
gir1.2-gdesktopenums-3.0:amd64	GObject introspection for GSettings desktop-wide schemas
gir1.2-gdkpixbuf-2.0:amd64	GDK Pixbuf library - GObject-Introspection
gir1.2-gdm-1.0	GObject introspection data for the GNOME Display Manager
gir1.2-geoclue-2.0:amd64	convenience library to interact with geoinformation service (introspection)
gir1.2-geocodeglib-1.0:amd64	introspection data for geocode-glib library
gir1.2-glib-2.0:amd64	Introspection data for GLib, GObject, Gio and GModule
gir1.2-gmenu-3.0:amd64	GObject introspection data for the GNOME menu library
gir1.2-gnomebluetooth-1.0:amd64	Introspection data for GnomeBluetooth
gir1.2-gnomedesktop-3.0:amd64	Introspection data for GnomeDesktop
gir1.2-goa-1.0:amd64	Introspection data for GNOME Online Accounts
gir1.2-gst-plugins-base-1.0:amd64	GObject introspection data for the GStreamer Plugins Base library
gir1.2-gstreamer-1.0:amd64	GObject introspection data for the GStreamer library
gir1.2-gtk-3.0:amd64	GTK+ graphical user interface library -- gir bindings
gir1.2-gtksource-3.0:amd64	gir files for the GTK+ syntax highlighting widget
gir1.2-gudev-1.0:amd64	libgudev-1.0 introspection data
gir1.2-gweather-3.0:amd64	GObject introspection data for the GWeather library
gir1.2-harfbuzz-0.0:amd64	OpenType text shaping engine (GObject introspection data)
gir1.2-ibus-1.0:amd64	Intelligent Input Bus - introspection data
gir1.2-javascriptcoregtk-4.0:amd64	JavaScript engine library from WebKitGTK+ - GObject introspection data
gir1.2-json-1.0:amd64	GLib JSON manipulation library (introspection data)
gir1.2-keybinder-3.0	registers global key bindings for applications - Gtk+3 - typelib
gir1.2-mutter-2:amd64	GObject introspection data for Mutter
gir1.2-nm-1.0:amd64	GObject introspection data for the libnm library
gir1.2-nma-1.0:amd64	GObject introspection data for libnma
gir1.2-notify-0.7:amd64	sends desktop notifications to a notification daemon (Introspection files)
gir1.2-packagekitglib-1.0	GObject introspection data for the PackageKit GLib library
gir1.2-pango-1.0:amd64	Layout and rendering of internationalized text - gir bindings
gir1.2-peas-1.0:amd64	Application plugin library (introspection files)
gir1.2-polkit-1.0	GObject introspection data for PolicyKit
gir1.2-rb-3.0:amd64	GObject introspection data for the rhythmbox music player
gir1.2-rsvg-2.0:amd64	gir files for renderer library for SVG files
gir1.2-secret-1:amd64	Secret store (GObject-Introspection)
gir1.2-snapd-1:amd64	Typelib file for libsnapd-glib1
gir1.2-soup-2.4:amd64	GObject introspection data for the libsoup HTTP library
gir1.2-totem-1.0:amd64	GObject introspection data for Totem media player
gir1.2-totemplparser-1.0:amd64	GObject introspection data for the Totem Playlist Parser library
gir1.2-udisks-2.0:amd64	GObject based library to access udisks2 - introspection data
gir1.2-unity-5.0:amd64	GObject introspection data for the Unity library
gir1.2-upowerglib-1.0:amd64	GObject introspection data for upower
gir1.2-vte-2.91:amd64	GObject introspection data for the VTE library
gir1.2-webkit2-4.0:amd64	Web content engine library for GTK+ - GObject introspection data
gir1.2-wnck-3.0:amd64	GObject introspection data for the WNCK library
gjs	Mozilla-based javascript bindings for the GNOME platform
gkbd-capplet	GNOME control center tools for libgnomekbd
glib-networking:amd64	network-related giomodules for GLib
glib-networking-common	network-related giomodules for GLib - data files
glib-networking-services	network-related giomodules for GLib - D-Bus services
gnome-accessibility-themes	High Contrast GTK+ 2 theme and icons
gnome-bluetooth	GNOME Bluetooth tools
gnome-calendar	Calendar application for GNOME
gnome-control-center	utilities to configure the GNOME desktop
gnome-control-center-data	configuration applets for GNOME - data files
gnome-control-center-faces	utilities to configure the GNOME desktop - faces images
gnome-desktop3-data	Common files for GNOME desktop apps
gnome-disk-utility	manage and configure disk drives and media
gnome-font-viewer	font viewer for GNOME
gnome-getting-started-docs	Help a new user get started in GNOME
gnome-initial-setup	Initial GNOME system setup helper
gnome-keyring	GNOME keyring services (daemon and tools)
gnome-keyring-pkcs11:amd64	GNOME keyring module for the PKCS#11 module loading library
gnome-mahjongg	classic Eastern tile game for GNOME
gnome-menus	GNOME implementation of the freedesktop menu specification
gnome-mines	popular minesweeper puzzle game for GNOME
gnome-online-accounts	service to manage online accounts for the GNOME desktop
gnome-power-manager	power management tool for the GNOME desktop
gnome-screenshot	screenshot application for GNOME
gnome-session-bin	GNOME Session Manager - Minimal runtime
gnome-session-canberra	GNOME session log in and log out sound events
gnome-session-common	GNOME Session Manager - common files
gnome-settings-daemon	daemon handling the GNOME session settings
gnome-settings-daemon-schemas	Shared schemas for gnome-settings-daemon
gnome-shell	graphical shell for the GNOME desktop
gnome-shell-common	common files for the GNOME graphical shell
gnome-shell-extension-appindicator	App indicators for GNOME Shell
gnome-shell-extension-ubuntu-dock	Ubuntu Dock for GNOME Shell
gnome-software	Software Center for GNOME
gnome-software-common	Software Center for GNOME (common files)
gnome-software-plugin-snap	Snap support for GNOME Software
gnome-startup-applications	Startup Applications manager for GNOME
gnome-sudoku	Sudoku puzzle game for GNOME
gnome-terminal	GNOME terminal emulator application
gnome-terminal-data	Data files for the GNOME terminal emulator
gnome-themes-extra:amd64	Adwaita GTK+ 2 theme — engine
gnome-themes-extra-data	Adwaita GTK+ 2 theme — common files
gnome-todo	minimalistic personal task manager designed to fit GNOME desktop
gnome-todo-common	common files for GNOME To Do
gnome-tweak-tool	adjust advanced settings for GNOME - transitional package
gnome-tweaks	tool to adjust advanced configuration settings for GNOME
gnome-user-docs	GNOME user's guide
gnome-user-guide	GNOME user's guide - dummy transitional package
gnome-video-effects	Collection of GStreamer effects
gnupg	GNU privacy guard - a free PGP replacement
gnupg-l10n	GNU privacy guard - localization files
gnupg-utils	GNU privacy guard - utility programs
gnustep-base-common	GNUstep Base library - common files
gnustep-base-runtime	GNUstep Base library - daemons and tools
gnustep-common	Common files for the core GNUstep environment
google-chrome-stable	The web browser from Google
gpg	GNU Privacy Guard -- minimalist public key operations
gpg-agent	GNU privacy guard - cryptographic agent
gpg-wks-client	GNU privacy guard - Web Key Service client
gpg-wks-server	GNU privacy guard - Web Key Service server
gpgconf	GNU privacy guard - core configuration utilities
gpgsm	GNU privacy guard - S/MIME version
gpgv	GNU privacy guard - signature verification tool
grep	GNU grep, egrep and fgrep
grilo-plugins-0.3-base:amd64	Framework for discovering and browsing media - Plugins
groff-base	GNU troff text-formatting system (base system components)
growisofs	DVD+-RW/R recorder
grub-common	GRand Unified Bootloader (common files)
grub-efi-amd64	GRand Unified Bootloader, version 2 (EFI-AMD64 version)
grub-efi-amd64-bin	GRand Unified Bootloader, version 2 (EFI-AMD64 binaries)
grub-efi-amd64-signed	GRand Unified Bootloader, version 2 (EFI-AMD64 version, signed)
grub2-common	GRand Unified Bootloader (common files for version 2)
gsettings-desktop-schemas	GSettings desktop-wide schemas
gsettings-ubuntu-schemas	GSettings deskop-wide schemas for Ubuntu
gsfonts	Fonts for the Ghostscript interpreter(s)
gstreamer1.0-alsa:amd64	GStreamer plugin for ALSA
gstreamer1.0-clutter-3.0:amd64	Clutter PLugin for GStreamer 1.0
gstreamer1.0-fluendo-mp3:amd64	Fluendo mp3 decoder GStreamer 1.0 plugin
gstreamer1.0-gl:amd64	GStreamer plugins for GL
gstreamer1.0-gtk3:amd64	GStreamer plugin for GTK+3
gstreamer1.0-libav:amd64	libav plugin for GStreamer
gstreamer1.0-packagekit	GStreamer plugin to install codecs using PackageKit
gstreamer1.0-plugins-bad:amd64	GStreamer plugins from the "bad" set
gstreamer1.0-plugins-base:amd64	GStreamer plugins from the "base" set
gstreamer1.0-plugins-base-apps	GStreamer helper programs from the "base" set
gstreamer1.0-plugins-good:amd64	GStreamer plugins from the "good" set
gstreamer1.0-plugins-ugly:amd64	GStreamer plugins from the "ugly" set
gstreamer1.0-pulseaudio:amd64	GStreamer plugin for PulseAudio
gstreamer1.0-tools	Tools for use with GStreamer
gstreamer1.0-vaapi:amd64	VA-API plugins for GStreamer
gstreamer1.0-x:amd64	GStreamer plugins for X11 and Pango
gthumb	image viewer and browser
gthumb-data	image viewer and browser - arch-independent files
gtk-update-icon-cache	icon theme caching utility
gtk2-engines-murrine:amd64	cairo-based gtk+-2.0 theme engine
gtk2-engines-pixbuf:amd64	pixbuf-based theme for GTK+ 2.x
guile-2.0-libs:amd64	Core Guile libraries
gvfs:amd64	userspace virtual filesystem - GIO module
gvfs-backends	userspace virtual filesystem - backends
gvfs-bin	userspace virtual filesystem - binaries
gvfs-common	userspace virtual filesystem - common data files
gvfs-daemons	userspace virtual filesystem - servers
gvfs-fuse	userspace virtual filesystem - fuse server
gvfs-libs:amd64	userspace virtual filesystem - private libraries
gzip	GNU compression utilities
handbrake	versatile DVD ripper and video transcoder (GTK+ GUI)
hdparm	tune hard disk parameters for high performance
hicolor-icon-theme	default fallback theme for FreeDesktop.org icon themes
hostname	utility to set/show the host name or domain name
hplip	HP Linux Printing and Imaging System (HPLIP)
hplip-data	HP Linux Printing and Imaging - data files
html2text	advanced HTML to text converter
htop	interactive processes viewer
humanity-icon-theme	Humanity Icon theme
hunspell-en-us	English_american dictionary for hunspell
hyphen-en-us	English (US) hyphenation patterns
i965-va-driver:amd64	VAAPI driver for Intel G45 & HD Graphics family
ibus	Intelligent Input Bus - core
ibus-gtk:amd64	Intelligent Input Bus - GTK+2 support
ibus-gtk3:amd64	Intelligent Input Bus - GTK+3 support
ibus-table	table engine for IBus
icu-devtools	Development utilities for International Components for Unicode
ifupdown	high level tools to configure network interfaces
iio-sensor-proxy	IIO sensors to D-Bus proxy
im-config	Input method configuration framework
imagemagick	image manipulation programs -- binaries
imagemagick-6-common	image manipulation programs -- infrastructure
imagemagick-6.q16	image manipulation programs -- quantum depth Q16
info	Standalone GNU Info documentation browser
init	metapackage ensuring an init system is installed
init-system-helpers	helper tools for all init systems
initramfs-tools	generic modular initramfs generator (automation)
initramfs-tools-bin	binaries used by initramfs-tools
initramfs-tools-core	generic modular initramfs generator (core tools)
inkscape	vector-based drawing program
inputattach	utility to connect serial-attached peripherals to the input subsystem
install-info	Manage installed documentation in info format
intel-microcode	Processor microcode firmware for Intel CPUs
intltool-debian	Help i18n of RFC822 compliant config files
ippusbxd	Daemon for IPP USB printer support
iproute2	networking and traffic control tools
iptables	administration tools for packet filtering and NAT
iputils-arping	Tool to send ICMP echo requests to an ARP address
iputils-ping	Tools to test the reachability of network hosts
iputils-tracepath	Tools to trace the network path to a remote host
irqbalance	Daemon to balance interrupts for SMP systems
isc-dhcp-client	DHCP client for automatically obtaining an IP address
isc-dhcp-common	common manpages relevant to all of the isc-dhcp packages
iscan	simple, easy to use scanner utility for EPSON scanners
iscan-data	Image Scan! for Linux data files
iso-codes	ISO language, territory, currency, script codes and their translations
iucode-tool	Intel processor microcode tool
iw	tool for configuring Linux wireless devices
javascript-common	Base support for JavaScript library packages
kbd	Linux console font and keytable utilities
keepassx	Cross Platform Password Manager
kerneloops	kernel oops tracker
keyboard-configuration	system-wide keyboard preferences
klibc-utils	small utilities built with klibc for early boot
kmod	tools for managing Linux kernel modules
krb5-locales	internationalization support for MIT Kerberos
lame	MP3 encoding library (frontend)
language-pack-en	translation updates for language English
language-pack-en-base	translations for language English
language-pack-gnome-en	GNOME translation updates for language English
language-pack-gnome-en-base	GNOME translations for language English
language-selector-common	Language selector for Ubuntu
language-selector-gnome	Language selector for Ubuntu
laptop-detect	system chassis type checker
less	pager program similar to more
liba52-0.7.4:amd64	library for decoding ATSC A/52 streams
libaa1:amd64	ASCII art library
libaacs0:amd64	free-and-libre implementation of AACS
libabw-0.1-1:amd64	library for reading and writing AbiWord(tm) documents
libaccountsservice0:amd64	query and manipulate user account information - shared libraries
libacl1:amd64	Access control list shared library
libalgorithm-diff-perl	module to find differences between files
libalgorithm-diff-xs-perl	module to find differences between files (XS accelerated)
libalgorithm-merge-perl	Perl module for three-way merge of textual data
libamd2:amd64	approximate minimum degree ordering library for sparse matrices
libao-common	Cross Platform Audio Output Library (Common files)
libao4:amd64	Cross Platform Audio Output Library
libapparmor1:amd64	changehat AppArmor library
libappindicator1	Application Indicators
libappindicator3-1	Application Indicators
libappstream-glib8:amd64	GNOME library to access AppStream services
libappstream4:amd64	Library to access AppStream services
libapt-inst2.0:amd64	deb package format runtime library
libapt-pkg-perl	Perl interface to libapt-pkg
libapt-pkg5.0:amd64	package management runtime library
libarchive-cpio-perl	module for manipulations of cpio archives
libarchive-zip-perl	Perl module for manipulation of ZIP archives
libarchive13:amd64	Multi-format archive and compression library (shared library)
libargon2-0:amd64	memory-hard hashing function - runtime library
libart-2.0-2:amd64	Library of functions for 2D graphics - runtime files
libasan4:amd64	AddressSanitizer -- a fast memory error detector
libasn1-8-heimdal:amd64	Heimdal Kerberos - ASN.1 library
libasound2:amd64	shared library for ALSA applications
libasound2-data	Configuration files and profiles for ALSA drivers
libasound2-plugins:amd64	ALSA library additional plugins
libaspell15:amd64	GNU Aspell spell-checker runtime library
libass9:amd64	library for SSA/ASS subtitles rendering
libassuan0:amd64	IPC library for the GnuPG components
libasyncns0:amd64	Asynchronous name service query library
libatasmart4:amd64	ATA S.M.A.R.T. reading and parsing library
libatk-adaptor:amd64	AT-SPI 2 toolkit bridge
libatk-bridge2.0-0:amd64	AT-SPI 2 toolkit bridge - shared library
libatk1.0-0:amd64	ATK accessibility toolkit
libatk1.0-data	Common files for the ATK accessibility toolkit
libatkmm-1.6-1v5:amd64	C++ wrappers for ATK accessibility toolkit (shared libraries)
libatm1:amd64	shared library for ATM (Asynchronous Transfer Mode)
libatomic1:amd64	support library providing __atomic built-in functions
libatspi2.0-0:amd64	Assistive Technology Service Provider Interface - shared library
libattr1:amd64	Extended attribute shared library
